Sl_No,Ministry,Sector,Project_Name,Agency,Project_Code,State,Approval_Date,Start_Date,Target_DoC,Revised_DoC,Original_Cost_Cr,Revised_Cost_Cr,Cumulative_Expenditure_Cr,Physical_Progress_Pct,Page
215,Ministry of Power,Transmission & Distribution,Augmentation of Transformation Capacity and Implementation of Line Bays at Mandsaur S/S for RE Interconnection [SPV Name- POWERGRID Mandsaur I RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617802,Madhya Pradesh,10/2025,10/2025,03/2028,-,319.00,0.00,17.92,6.00,67
216,Ministry of Power,Transmission & Distribution,Mahan Transmission Limited,Adani Transmission Limited,619024,Madhya Pradesh,03/2025,03/2025,04/2027,-,3125.32,0.00,734.79,45.00,67
217,Ministry of Power,Transmission & Distribution,WRNES Talegaon Power Transmission Limited,Adani Transmission Limited,619027,Maharashtra,05/2025,05/2025,01/2028,-,2000.00,0.00,29.00,6.00,67
218,Ministry of Power,Transmission & Distribution,Network Expansion Scheme in Maharashtra for removal of Transmission constraints in Pune Region-I [765/400kV AIS Pune East],Power Grid Corporation of India Limited [POWERGRID],619227,Maharashtra,03/2026,03/2026,03/2028,-,1420.00,0.00,63.61,4.32,67
219,Ministry of Power,Transmission & Distribution,Transmission System for Integration of Kurnool-IV REZ Phase-I [for 4.5 GW] [POWERGRID Kurnool-IV Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617185,"Multi-States (Andhra Pradesh, Karnataka)",03/2025,03/2025,03/2027,09/2027,5550.00,0.00,1963.00,34.50,67
220,Ministry of Power,Transmission & Distribution,Transmission System for Integration of Ananthapur 2 REZ Phase 1 for 4.5 GW. SPV Name Anantapuram 2 REZ Transmission Ltd,Sterlite Power,617806,"Multi-States (Andhra Pradesh, Karnataka)",08/2024,03/2025,03/2027,-,4535.99,0.00,1785.57,70.00,67
221,Ministry of Power,Transmission & Distribution,Inter-Regional Strengthening between SR Grid and ER Grid,Power Grid Corporation of India Limited [POWERGRID],619030,"Multi-States (Andhra Pradesh, Odisha)",02/2026,02/2026,08/2028,-,2722.50,0.00,198.74,3.00,67
222,Ministry of Power,Transmission & Distribution,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Power Grid Corporation of India Limited [POWERGRID],602223,"Multi-States (Arunachal Pradesh, Sikkim)",10/2014,10/2014,12/2018,03/2027,4754.42,0.00,8173.48,84.00,67
223,Ministry of Power,Transmission & Distribution,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT [NERPSIP],Power Grid Corporation of India Limited [POWERGRID],607709,"Multi-States (Assam, Manipur, Meghalaya, Mizoram, Nagaland, Tripura)",12/2014,03/2016,12/2018,03/2027,5111.33,0.00,5577.75,99.20,67
224,Ministry of Power,Transmission & Distribution,Eastern Region Expansion Scheme-43 [ERES-43],Power Grid Corporation of India Limited [POWERGRID],617271,"Multi-States (Bihar, Odisha, West Bengal)",09/2024,09/2024,03/2026,09/2026,342.69,0.00,150.92,29.75,67
225,Ministry of Power,Transmission & Distribution,Inter-regional [NR-WR] Transmission System strengthening to relieve the loading of 765 kV Vindhyachal-Varanasi D/c line,Power Grid Corporation of India Limited [POWERGRID],617807,"Multi-States (Bihar, Uttar Pradesh)",10/2025,10/2025,10/2027,-,2368.00,0.00,165.76,8.06,67
226,Ministry of Power,Transmission & Distribution,Eastern Region Expansion Scheme-44 [ERES-44],Power Grid Corporation of India Limited [POWERGRID],617270,"Multi-States (Bihar, West Bengal)",11/2024,11/2024,05/2026,09/2027,408.94,0.00,6.13,1.50,67
227,Ministry of Power,Transmission & Distribution,WR–ER Inter Regional Network Expansion Scheme – Part A,Power Grid Corporation of India Limited [POWERGRID],663560,"Multi-States (Chhattisgarh, Jharkhand, West Bengal)",06/2026,06/2026,06/2029,-,6444.00,0.00,12.88,0.10,67
228,Ministry of Power,Transmission & Distribution,Transmission Scheme for Evacuation of power from REZ in Rajasthan [20 GW] under Phase-III Part D Phase I [Sikar Khetri Transmission Ltd],Power Grid Corporation of India Limited [POWERGRID],612132,"Multi-States (Delhi, Haryana, Rajasthan)",02/2024,02/2024,08/2025,03/2027,2423.00,0.00,2253.39,94.00,67
